operacion	year	producto	pais	pais3	ton	ton_punto
E	2014	Diesel	Perú	MYS	579,244	579.244
E	2014	Fuel Oil 6	Panamá	MYS	69885,294	69885.294
E	2014	Fuel Oil 6	Sin descripción	RUS	19839,359	19839.359
E	2014	Gasolina	Bolivia	BOL	43180,35858	43180.35858
E	2014	GLP	Brasil	ARG	18601,839	18601.839
E	2014	GLP	Francia	FRA	10573,62	10573.62
E	2014	GLP	Uruguay	CHE	5982,692	5982.692
E	2014	IFO	Panamá	MYS	56532,025	56532.025
E	2014	IFO	Sin descripción	RUS	15234,801	15234.801
E	2014	Kerosene	Bolivia	BOL	1,467	1.467
E	2015	Carbón	Holanda	GNQ	109640,765	109640.765
E	2015	Carbón	India	GNQ	432066,444	432066.444
E	2015	Diesel	Bolivia	BOL	7187,50599	7187.50599
E	2015	Gasolina	Bolivia	BOL	2291,37156	2291.37156
E	2015	GLP	Ghana	FRA	16030,329	16030.329
E	2015	IFO	Bolivia	BOL	7,6	7.6
I	2002	Carbón	Argentina	ARG	10050,749441	10050.749441
I	2002	Carbón	Australia	AUS	502742,988	502742.988
I	2002	Carbón	Canadá	CAN	186197,9	186197.9
I	2002	Carbón	Colombia	COL	123447	123447
I	2002	Carbón	Estados Unidos	USA	37653,86	37653.86
I	2002	Carbón	Indonesia	IND	87100,36	87100.36
I	2002	Carbón	Nueva Zelandia	NZL	41338,3	41338.3
I	2002	Crudo	Argentina	ARG	2289446,0653049	2289446.0653049
I	2002	Crudo	Brasil	BRA	277995,126	277995.126
I	2002	Crudo	Malasia	MYS	25612,61	25612.61
I	2002	Crudo	Nigeria	NGA	263646,644	263646.644
I	2002	Crudo	Perú	PER	116152,885	116152.885
I	2002	Crudo	Venezuela	VEN	68758,149	68758.149
I	2002	Diesel	Argentina	ARG	45839,28772	45839.28772
I	2002	Diesel	Corea del Norte	PRK	129,84	129.84
I	2002	Diesel	Corea del Sur	KOR	73254,24526	73254.24526
I	2002	Diesel	Estados Unidos	USA	39039,9259	39039.9259
I	2002	Diesel	Rusia	RUS	32293,363	32293.363
I	2002	Fuel Oil 6	Estados Unidos	USA	0,0036288	0.0036288
I	2002	Gas Natural	Argentina	ARG	1053271,2453938	1053271.2453938
I	2002	Gasolina	Estados Unidos	USA	0,0238	0.0238
I	2002	Gasolina	Inglaterra	GBR	0,02	0.02
I	2002	GLP	Argentina	ARG	157636,1363	157636.1363
I	2002	GLP	Bolivia	BOL	3005,5	3005.5
I	2002	GLP	Brasil	BRA	20019,598	20019.598
I	2002	GLP	Corea del Sur	KOR	9,4692615	9.4692615
I	2002	GLP	Ecuador	ECU	3329,667	3329.667
I	2002	GLP	Estados Unidos	USA	0,010462	0.010462
I	2002	GLP	Italia	ITA	15,1164	15.1164
I	2002	GLP	Suecia	SWE	0,03	0.03
I	2002	IFO	Colombia	COL	25159,647	25159.647
I	2002	IFO	Estados Unidos	USA	0,004615	0.004615
I	2002	IFO	Perú	PER	6000	6000
I	2002	Kerosene	Colombia	COL	6106,505	6106.505
I	2002	Kerosene	Estados Unidos	USA	0,06726	0.06726
I	2002	Kerosene	México	MEX	15578,931	15578.931
I	2002	Kerosene	Panamá	PAN	0,720554	0.720554
I	2003	Carbón	Argentina	ARG	44099,3860469	44099.3860469
I	2003	Carbón	Australia	AUS	836009,613	836009.613
I	2003	Carbón	Canadá	CAN	510250,56	510250.56
I	2003	Carbón	Colombia	COL	516079,8116	516079.8116
I	2003	Carbón	Estados Unidos	USA	328733,3	328733.3
I	2003	Carbón	Indonesia	IND	201175,31	201175.31
I	2003	Carbón	Nueva Zelandia	NZL	92873,86	92873.86
I	2003	Crudo	Angola	AGO	262238	262238
I	2003	Crudo	Argentina	ARG	5743048,48683081	5743048.48683081
I	2003	Crudo	Bolivia	BOL	33531,8	33531.8
I	2003	Crudo	Brasil	BRA	799984,588	799984.588
I	2003	Crudo	Canadá	CAN	0,04	0.04
I	2003	Crudo	Estados Unidos	USA	0,9533	0.9533
I	2003	Crudo	Gabón	GAB	129345,484	129345.484
I	2003	Crudo	Malasia	MYS	79046,5	79046.5
I	2003	Crudo	Nigeria	NGA	452035,199	452035.199
I	2003	Crudo	Perú	PER	783281,535	783281.535
I	2003	Crudo	Territorios Holandeses en América		21447,277	21447.277
I	2003	Crudo	Uruguay	URY	84,1	84.1
I	2003	Crudo	Venezuela	VEN	182162,281	182162.281
I	2003	Diesel	Argentina	ARG	127869,05539	127869.05539
I	2003	Diesel	Canadá	CAN	1,7	1.7
I	2003	Diesel	Chile	CHL	1087,2166	1087.2166
I	2003	Diesel	Corea del Sur	KOR	248288,30743	248288.30743
I	2003	Diesel	Ecuador	ECU	6	6
I	2003	Diesel	Estados Unidos	USA	68316,02491	68316.02491
I	2003	Diesel	Estonia	EST	21926,3	21926.3
I	2003	Diesel	Holanda	NLD	7698,61657	7698.61657
I	2003	Diesel	Panamá	PAN	10	10
I	2003	Diesel	Taiwán	TWN	70737,642	70737.642
I	2003	Diesel	Territorios Holandeses en América		39177,368	39177.368
I	2003	Diesel	Venezuela	VEN	37103,832	37103.832
I	2003	Gas Natural	Argentina	ARG	3075734,5331599	3075734.5331599
I	2003	Gas Natural	Estados Unidos	USA	0,00496	0.00496
I	2003	Gas Natural	Inglaterra	GBR	0,05915	0.05915
I	2003	Gasolina	Argentina	ARG	0,012	0.012
I	2003	Gasolina	Estados Unidos	USA	0,0571504	0.0571504
I	2003	Gasolina	Perú	PER	0,0050769	0.0050769
I	2003	GLP	Argentina	ARG	446033,9552	446033.9552
I	2003	GLP	Bolivia	BOL	855,477	855.477
I	2003	GLP	Corea del Sur	KOR	15,431	15.431
I	2003	GLP	Ecuador	ECU	11455,086	11455.086
I	2003	GLP	Estados Unidos	USA	1,8597593	1.8597593
I	2003	GLP	Italia	ITA	40,963582	40.963582
I	2003	GLP	Turquía	TUR	0,016923	0.016923
I	2003	IFO	Estados Unidos	USA	0,1368644	0.1368644
I	2003	IFO	Perú	PER	73546,483	73546.483
I	2003	Kerosene	Estados Unidos	USA	0,066148	0.066148
I	2003	Kerosene	Japón	JPN	0,199796	0.199796
I	2003	Kerosene	México	MEX	1,138917	1.138917
I	2003	Kerosene	Territorios Holandeses en América		15841,2	15841.2
I	2004	Carbón	Argentina	ARG	103943,13	103943.13
I	2004	Carbón	Australia	AUS	1225723,35986	1225723.35986
I	2004	Carbón	Canadá	CAN	335933,6	335933.6
I	2004	Carbón	Colombia	COL	721662,06902	721662.06902
I	2004	Carbón	Estados Unidos	USA	1083801,9088	1083801.9088
I	2004	Carbón	Indonesia	IND	922505,93	922505.93
I	2004	Carbón	Nueva Zelandia	NZL	73538,97195	73538.97195
I	2004	Crudo	Angola	AGO	1274277,434	1274277.434
I	2004	Crudo	Argentina	ARG	4130609,0520811	4130609.0520811
I	2004	Crudo	Brasil	BRA	1199021,855	1199021.855
I	2004	Crudo	Costa de Marfil	CIV	137384,801	137384.801
I	2004	Crudo	Ecuador	ECU	224266,838	224266.838
I	2004	Crudo	Estados Unidos	USA	0,2180461	0.2180461
I	2004	Crudo	Gabón	GAB	251095,441	251095.441
I	2004	Crudo	Nigeria	NGA	1192890,243	1192890.243
I	2004	Crudo	Perú	PER	751109,92	751109.92
I	2004	Crudo	Sudáfrica	ZAF	0,0492308	0.0492308
I	2004	Crudo	Venezuela	VEN	103417,072	103417.072
I	2004	Diesel	Alemania	DEU	1,032	1.032
I	2004	Diesel	Argentina	ARG	216669,87708	216669.87708
I	2004	Diesel	Canadá	CAN	12668,2077	12668.2077
I	2004	Diesel	Corea del Sur	KOR	110386,848	110386.848
I	2004	Diesel	Estados Unidos	USA	570954,317061	570954.317061
I	2004	Diesel	México	MEX	29006,9	29006.9
I	2004	Diesel	Territorios Holandeses en América		22975,318	22975.318
I	2004	Diesel	Venezuela	VEN	91869,0296	91869.0296
I	2004	Fuel Oil 6	Estados Unidos	USA	0,0105	0.0105
I	2004	Gas Natural	Argentina	ARG	3850470,0059814	3850470.0059814
I	2004	Gas Natural	Perú	PER	67,58	67.58
I	2004	Gasolina	Argentina	ARG	0,03	0.03
I	2004	Gasolina	Estados Unidos	USA	0,0698538	0.0698538
I	2004	GLP	Alemania	DEU	0,0007692	0.0007692
I	2004	GLP	Argentina	ARG	497376,123	497376.123
I	2004	GLP	Bolivia	BOL	1509,426	1509.426
I	2004	GLP	Corea del Sur	KOR	16,1682962	16.1682962
I	2004	GLP	Estados Unidos	USA	1,2289923	1.2289923
I	2004	GLP	Inglaterra	GBR	14058,287385	14058.287385
I	2004	GLP	Italia	ITA	80,4487446	80.4487446
I	2004	GLP	Noruega	NOR	18842,705	18842.705
I	2004	IFO	Alemania	DEU	0,234	0.234
I	2004	IFO	Argentina	ARG	12,71	12.71
I	2004	IFO	Brasil	BRA	0,0125077	0.0125077
I	2004	IFO	Estados Unidos	USA	0,0031752	0.0031752
I	2004	IFO	Inglaterra	GBR	0,012	0.012
I	2004	Kerosene	Argentina	ARG	5996,798	5996.798
I	2004	Kerosene	Brasil	BRA	0,01777	0.01777
I	2004	Kerosene	Estados Unidos	USA	27102,1070202	27102.1070202
I	2005	Carbón	Argentina	ARG	40973,47241	40973.47241
I	2005	Carbón	Australia	AUS	715976,792	715976.792
I	2005	Carbón	Canadá	CAN	399020	399020
I	2005	Carbón	Colombia	COL	485325,2708846	485325.2708846
I	2005	Carbón	Estados Unidos	USA	789889,5836	789889.5836
I	2005	Carbón	Indonesia	IND	1012994,62	1012994.62
I	2005	Carbón	Nueva Zelandia	NZL	169226,128	169226.128
I	2005	Crudo	Angola	AGO	2089750,374	2089750.374
I	2005	Crudo	Argentina	ARG	3091946,6330201	3091946.6330201
I	2005	Crudo	Brasil	BRA	1045826,768	1045826.768
I	2005	Crudo	Colombia	COL	211295,351	211295.351
I	2005	Crudo	Ecuador	ECU	116379,905	116379.905
I	2005	Crudo	Estados Unidos	USA	0,0015385	0.0015385
I	2005	Crudo	Gabón	GAB	1621,485	1621.485
I	2005	Crudo	Malasia	MYS	79096,1	79096.1
I	2005	Crudo	Nigeria	NGA	610607,342	610607.342
I	2005	Crudo	Perú	PER	329428,228	329428.228
I	2005	Diesel	Argentina	ARG	22308,26499	22308.26499
I	2005	Diesel	Canadá	CAN	34776,49116	34776.49116
I	2005	Diesel	Corea del Sur	KOR	215988,604	215988.604
I	2005	Diesel	Estados Unidos	USA	1061836,81651	1061836.81651
I	2005	Diesel	Inglaterra	GBR	0,278	0.278
I	2005	Diesel	Territorios Holandeses en América		244,531	244.531
I	2005	Diesel	Venezuela	VEN	32035,564	32035.564
I	2005	Fuel Oil 6	Estados Unidos	USA	112083,969	112083.969
I	2005	Gas Natural	Argentina	ARG	2661185,9529263	2661185.9529263
I	2005	Gas Natural	Perú	PER	39,589	39.589
I	2005	Gasolina	Brasil	BRA	0,045	0.045
I	2005	Gasolina	Estados Unidos	USA	0,0274769	0.0274769
I	2005	GLP	Argentina	ARG	425650,245	425650.245
I	2005	GLP	Corea del Sur	KOR	25,382289	25.382289
I	2005	GLP	Estados Unidos	USA	3,951059	3.951059
I	2005	GLP	Italia	ITA	7,87968	7.87968
I	2005	GLP	Nigeria	NGA	21334,058	21334.058
I	2005	GLP	Perú	PER	15978,702	15978.702
I	2005	IFO	Brasil	BRA	0,0308	0.0308
I	2005	IFO	Estados Unidos	USA	0,1188781	0.1188781
I	2005	Kerosene	Alemania	DEU	0,109112	0.109112
I	2005	Kerosene	Estados Unidos	USA	65958,36821	65958.36821
I	2006	Carbón	Argentina	ARG	104987,074	104987.074
I	2006	Carbón	Australia	AUS	1313873,0110692	1313873.0110692
I	2006	Carbón	Canadá	CAN	652495,1721877	652495.1721877
I	2006	Carbón	Colombia	COL	268069,86	268069.86
I	2006	Carbón	Estados Unidos	USA	337612,28	337612.28
I	2006	Carbón	Indonesia	IND	1381886,166	1381886.166
I	2006	Carbón	México	MEX	21,56	21.56
I	2006	Carbón	Nueva Zelandia	NZL	356078,4325	356078.4325
I	2006	Crudo	Angola	AGO	2450757,47	2450757.47
I	2006	Crudo	Argentina	ARG	1317341,380268	1317341.380268
I	2006	Crudo	Bolivia	BOL	35602,503	35602.503
I	2006	Crudo	Brasil	BRA	2364252,813	2364252.813
I	2006	Crudo	Colombia	COL	97576,601	97576.601
I	2006	Crudo	Congo	COG	240632,863	240632.863
I	2006	Crudo	Ecuador	ECU	1120042,115	1120042.115
I	2006	Crudo	Estados Unidos	USA	0,0098308	0.0098308
I	2006	Crudo	Gabón	GAB	131032,9	131032.9
I	2006	Crudo	Nigeria	NGA	460158,938	460158.938
I	2006	Crudo	Perú	PER	750888,5179231	750888.5179231
I	2006	Crudo	Tailandia	THA	79296,159	79296.159
I	2006	Diesel	Alemania	DEU	2,22	2.22
I	2006	Diesel	Argentina	ARG	1915,718	1915.718
I	2006	Diesel	Canadá	CAN	3464,191	3464.191
I	2006	Diesel	Corea del Sur	KOR	624113,25534	624113.25534
I	2006	Diesel	Estados Unidos	USA	1026566,81466	1026566.81466
I	2006	Diesel	Holanda	NLD	59274,157	59274.157
I	2006	Diesel	Japón	JPN	32650,326	32650.326
I	2006	Diesel	Venezuela	VEN	95380,317	95380.317
I	2006	Gas Natural	Argentina	ARG	2599221,4613354	2599221.4613354
I	2006	Gas Natural	Estados Unidos	USA	0,0315385	0.0315385
I	2006	Gasolina	Estados Unidos	USA	0,0642615	0.0642615
I	2006	GLP	Argentina	ARG	524883,499	524883.499
I	2006	GLP	China	CHN	11,841	11.841
I	2006	GLP	Corea del Sur	KOR	7,5138462	7.5138462
I	2006	GLP	Ecuador	ECU	6509,3	6509.3
I	2006	GLP	Emiratos Árabes Unidos	ARE	21092,018	21092.018
I	2006	GLP	Estados Unidos	USA	3,0251356	3.0251356
I	2006	GLP	Holanda	NLD	0,0015	0.0015
I	2006	GLP	Inglaterra	GBR	0,0027408	0.0027408
I	2006	GLP	Italia	ITA	35,88817	35.88817
I	2006	GLP	Perú	PER	22128,386	22128.386
I	2006	IFO	Alemania	DEU	0,0477538	0.0477538
I	2006	IFO	Estados Unidos	USA	0,0101538	0.0101538
I	2006	IFO	Perú	PER	9160,868	9160.868
I	2006	Kerosene	Alemania	DEU	0,091559	0.091559
I	2006	Kerosene	Argentina	ARG	26539,4629354	26539.4629354
I	2006	Kerosene	Brasil	BRA	0,5	0.5
I	2006	Kerosene	Estados Unidos	USA	62778,3860063	62778.3860063
I	2007	Carbón	Argentina	ARG	55185,046	55185.046
I	2007	Carbón	Australia	AUS	1266651,44528	1266651.44528
I	2007	Carbón	Canadá	CAN	700909,7	700909.7
I	2007	Carbón	Colombia	COL	1979603,328643	1979603.328643
I	2007	Carbón	España	ESP	14,4	14.4
I	2007	Carbón	Estados Unidos	USA	526628,111	526628.111
I	2007	Carbón	Indonesia	IND	1566852,287	1566852.287
I	2007	Carbón	Nueva Zelandia	NZL	174820,08	174820.08
